ID,INGREDIENTES,PRECIO,COMENTARIOS,MATERIA_SECA_(%),HUMEDAD_(%),CENIZAS_(%),PB_(%),EE_(%),EE_VERD_(%),FB_(%),FND_(%),FAD_(%),LAD_(%),ALMIDON_(%),AZUCARES_(%),SUMA_(%),C14:0_(%),C16:0_(%),C16:1_(%),C18:0_(%),C18:1_(%),C18:2_(%),C18:3_(%),C>20_(%),Ca_(%),P_(%),Pftico_(%),Pdisp_AVES_(%),Pdig_AVES_(%),Pdig_PORC_(%),Na_(%),Cl_(%),Mg_(%),K_(%),S_(%),Cu_(ppm),Fe_(ppm),Mn_(ppm),Zn_(ppm),Vit_E_(ppm),Biotina_(ppm),Colina_(ppm),EM_RTES_(Kcal_kg),UFL_(UF_kg),UFC_(UF_kg),ENL_RTES_(Kcal_kg),ENM_RTES_(Kcal_kg),ENC_RTES_(Kcal_kg),ALM_SOLUBLE_(%),ALM_DEGRAD_(%),ED_PORC_(Kcal_kg),EM_PORC_(Kcal_kg),EN_PORC_(Kcal_kg),EN_CERDAS_(Kcal_kg),EMA_POLLIT_(Kcal_kg),EMA_AVES _(Kcal_kg),ED_CONEJOS_(Kcal_kg),ED_CABALLO_(Kcal_kg),PBDIG_RUM_(%),PBDIG_PORC_(%),PBDIG_AVES_(%),PBDIG_CON_(%),PBDIG_CAB_(%),PDIA_(%),PDIE_(%),PDIN_(%),LYS_(%PDIE),MET_(%PDIE),LYS_(%),MET_(%),M+C_(%),THR_(%),TRP_(%),ILE_(%),VAL_(%),ARG_(%),GLYeq_(%),LYS_DIA_(%),MET_DIA_(%),M+C_DIA_(%),THR_DIA_(%),TRP_DIA_(%),ILE_DIA_(%),VAL_DIA_(%),ARG_DIA_(%),GLYeq_DIA_(%),LYS_DIS_(%),MET_DIS_(%),M+C_DIS_(%),THR_DIS_(%),TRP_DIS_(%),ILE_DIS_(%),VAL_DIS_(%),ARG_DIS_(%),GLYeq_DIS_(%),LYS_DR_(%),MET_DR_(%),M+C_DR_(%),THR_DR_(%),TRP_DR_(%),ILE_DR_(%),VAL_DR_(%),ARG_DR_(%),GLYeq_DR_(%)
11,TRIGO BLANDO 12.9 PB,,,89.7,10.3,1.8,12.9,1.4,1,2.4,10.8,3.2,1.0,60.1,1.5,98.8,0,0.19,0,0.01,0.15,0.56,0.05,0,0.05,0.29,0.19,0.15,0.12,0.1,0.02,0.08,0.11,0.32,0.14,7,50,31,50,16,0.11,890,2850,1.05,1.06,1870,1965,1350,35.5,55.3,3440,3340,2570,2610,3000,3155,3500,3560,8.8,10.6,10.8,10.2,10.4,2.9,9.2,8.5,7.1,2.1,0.36,0.21,0.49,0.37,0.15,0.45,0.55,0.62,0.95,0.27,0.18,0.41,0.26,0.12,0.37,0.43,0.51,0.78,0.3,0.19,0.44,0.31,0.13,0.41,0.48,0.55,0.84,0.3,0.18,0.43,0.29,0.13,0.39,0.47,0.55,0.83
12,TRIGO BLANDO 11.2 PB,,,89.1,10.9,1.6,11.2,1.4,1,2.4,10.6,3.1,1.0,60.4,1.5,97.6,0,0.19,0,0.01,0.15,0.56,0.05,0,0.05,0.29,0.19,0.15,0.12,0.1,0.02,0.08,0.11,0.32,0.14,7,50,31,50,14,0.11,890,2800,1.04,1.05,1810,1930,1320,35.6,55.6,3400,3320,2570,2640,2950,3100,3460,3520,7.6,9.2,9.4,8.7,9,2.5,8.8,7.4,7.3,2.1,0.31,0.18,0.43,0.32,0.13,0.39,0.48,0.54,0.83,0.24,0.15,0.35,0.23,0.1,0.32,0.38,0.44,0.68,0.26,0.16,0.38,0.27,0.11,0.35,0.42,0.48,0.73,0.26,0.16,0.37,0.26,0.11,0.34,0.41,0.48,0.72
13,TRIGO BLANDO 10.2 PB,,,88.5,11.5,1.5,10.2,1.4,1,2.4,10.3,3.0,1.0,60.6,1.5,97,0,0.19,0,0.01,0.15,0.56,0.05,0,0.05,0.29,0.19,0.15,0.12,0.1,0.02,0.08,0.11,0.32,0.14,7,50,31,50,14,0.11,890,2785,1.04,1.05,1800,1920,1320,35.8,55.8,3380,3300,2560,2625,2925,3075,3440,3500,6.9,8.4,8.6,8,8.2,2.3,8.6,6.7,7.4,2.1,0.29,0.16,0.39,0.29,0.12,0.36,0.43,0.49,0.75,0.21,0.14,0.32,0.21,0.09,0.29,0.34,0.41,0.62,0.24,0.15,0.34,0.25,0.1,0.32,0.38,0.44,0.66,0.24,0.15,0.34,0.23,0.1,0.31,0.37,0.43,0.66
14,TRIGO BLANDO INGLES,,,87.0,13,1.7,11.0,1.6,1.1,2.0,9.3,3.1,1.0,60.0,1.5,98.1,0,0.21,0,0.02,0.17,0.64,0.06,0,0.04,0.3,0.2,0.15,0.12,0.1,0.02,0.09,0.14,0.4,0.16,4,52,31,30,14,0.11,900,2740,1.03,1.04,1780,1890,1300,35.4,55.2,3350,3265,2530,2565,2960,3090,3400,3480,7.5,9,9.2,8.6,8.8,2.5,8.5,7.2,6.9,2,0.31,0.18,0.42,0.31,0.12,0.39,0.47,0.53,0.81,0.23,0.15,0.35,0.22,0.1,0.32,0.37,0.44,0.67,0.26,0.16,0.37,0.27,0.11,0.35,0.41,0.47,0.72,0.26,0.16,0.37,0.25,0.11,0.33,0.4,0.47,0.71
15,TRIGO DURO,,,90.0,10,1.6,13.8,2.0,1.4,2.9,11.9,3.9,1.3,56.0,2.5,97.8,0,0.27,0,0.02,0.27,0.71,0.06,0,0.04,0.36,0.24,0.19,0.13,0.1,0.03,0.05,0.13,0.42,0.15,7,60,31,50,20,0.11,830,2800,1.05,1.06,1810,1930,1320,28,47.6,3410,3300,2520,2540,2820,3050,3500,3650,9.1,11.2,11.2,10.8,11,3.4,9.3,9.2,6.5,1.9,0.37,0.21,0.55,0.37,0.16,0.51,0.6,0.7,1.02,0.27,0.17,0.45,0.26,0.12,0.41,0.46,0.58,0.84,0.31,0.18,0.48,0.31,0.14,0.45,0.51,0.63,0.9,0.3,0.18,0.47,0.28,0.13,0.43,0.49,0.62,0.89
16,TRITICALE,,,89.5,10.5,1.7,10.7,1.5,1.1,2.3,12.4,3.3,1.1,57.7,2.7,97.2,0,0.2,0,0.02,0.16,0.6,0.05,0,0.05,0.34,0.23,0.17,0.13,0.11,0.01,0.06,0.12,0.42,0.15,6,50,25,30,15,0.1,470,2795,1.04,1.05,1805,1925,1315,26,51.9,3350,3265,2525,2570,2850,3020,3450,3500,7.3,8.7,8.8,8.2,8.6,2.1,8.4,6.9,7.1,2,0.36,0.18,0.43,0.32,0.12,0.35,0.47,0.53,0.79,0.27,0.15,0.35,0.22,0.09,0.29,0.37,0.43,0.59,0.3,0.16,0.38,0.26,0.1,0.31,0.4,0.46,0.71,0.3,0.16,0.37,0.26,0.1,0.3,0.4,0.46,0.7
17,ARROZ TRATADO CALOR,,,87.2,12.8,1,7.5,1.0,0.9,1.0,2.5,1.2,0.1,71.8,1.8,98.4,0,0.14,0,0.02,0.34,0.31,0.01,0.02,0.04,0.1,0.06,0.02,0.02,0.01,0.02,0.03,0.08,0.12,0.09,3,19,12,21,4,0.05,400,3010,1.15,1.17,1970,2090,1475,40.2,58.9,3670,3620,2860,2860,3390,3470,3630,3630,5.8,6.8,6.7,6.5,6.4,4.2,8.3,5.7,6.5,2,0.29,0.18,0.35,0.26,0.1,0.28,0.41,0.56,0.6,0.23,0.16,0.29,0.19,0.08,0.23,0.33,0.47,0.47,0.26,0.17,0.32,0.24,0.09,0.27,0.38,0.51,0.57,0.25,0.17,0.31,0.23,0.09,0.26,0.37,0.51,0.5
18,MAIZ TRATADO CALOR,,,86.2,13.8,1.1,7.3,3.3,3,2.1,8.8,2.8,0.7,63.8,1.7,99.8,0,0.33,0,0.06,0.8,1.66,0.03,0,0.03,0.25,0.18,0.05,0.07,0.06,0.01,0.05,0.1,0.29,0.13,4,28,7,24,21,0.07,550,3000,1.12,1.14,1965,2085,1475,31.9,49.1,3575,3520,2780,2800,3260,3320,3500,3600,4.5,6.1,6.3,4.7,5.2,5.2,10,6.2,5.9,2,0.22,0.15,0.31,0.26,0.06,0.25,0.35,0.33,0.53,0.14,0.13,0.24,0.18,0.03,0.19,0.27,0.26,0.37,0.17,0.13,0.27,0.22,0.05,0.22,0.3,0.29,0.44,0.16,0.14,0.26,0.21,0.05,0.22,0.29,0.3,0.45
19,SORGO BLANCO TRATADO POR CALOR,,,87.0,13,1.3,8.9,3.0,2.7,2.3,8.8,4.5,0.8,64.2,0.8,100,0,0.46,0,0,0.84,1.22,0.08,0,0.03,0.3,0.19,0.06,0.07,0.07,0.01,0.09,0.15,0.35,0.1,4,52,11,18,10,0.24,620,2900,1.08,1.09,1890,2010,1410,18,33.4,3555,3460,2730,2750,3140,3240,3500,3600,4.9,6.7,6.6,5.8,6.4,5.5,10.5,6.7,5.7,1.9,0.2,0.15,0.32,0.29,0.1,0.35,0.45,0.35,0.58,0.13,0.13,0.25,0.21,0.07,0.27,0.35,0.28,0.39,0.15,0.14,0.27,0.25,0.08,0.29,0.38,0.3,0.46,0.17,0.14,0.27,0.26,0.09,0.32,0.4,0.3,0.39
20,SALVADO ARROZ 14%EE,,,89.7,10.3,8.3,13.8,13.9,12,7.8,18.0,9.0,3.7,27.0,5.0,96.3,0.07,2.03,0.04,0.24,4.78,4.42,0.18,0.04,0.1,1.35,1.1,0.25,0.22,0.21,0.02,0.08,0.8,1.35,0.18,8,150,210,45,28,0.32,1120,2650,0.95,0.93,1700,1820,1225,5.1,20,3200,3090,2370,2495,2635,2845,3300,3500,9.8,9.4,9.9,9.2,9.2,5.2,8.2,9.1,6.3,1.9,0.61,0.28,0.52,0.51,0.17,0.48,0.76,1.08,1.17,0.41,0.2,0.34,0.31,0.11,0.29,0.46,0.86,0.62,0.44,0.21,0.36,0.34,0.12,0.33,0.51,0.89,0.79,0.43,0.19,0.34,0.34,0.11,0.33,0.53,0.92,0.77
21,SALVADO ARROZ 17 EE,,,89.8,10.2,8.6,13.6,17.1,14.7,8.6,20.6,9.2,4.1,21.7,4.0,95.8,0.09,2.5,0.04,0.29,5.88,5.44,0.22,0.04,0.1,1.35,1.1,0.25,0.22,0.21,0.02,0.08,0.8,1.35,0.18,8,150,210,45,30,0.32,1120,2680,0.96,0.96,1725,1845,1240,4.1,16.1,3230,3110,2400,2525,2650,2845,3350,3500,9.7,9.1,9.5,9.4,9.4,5.1,8,9,6.3,1.9,0.61,0.28,0.51,0.5,0.16,0.48,0.75,1.07,1.15,0.41,0.19,0.33,0.3,0.1,0.29,0.46,0.84,0.61,0.43,0.2,0.35,0.33,0.12,0.32,0.5,0.88,0.78,0.42,0.18,0.34,0.33,0.1,0.33,0.52,0.91,0.76
22,SALVADO ARROZ DESENGRASADO,,,90.1,9.9,11.6,14.8,3.2,2.2,9.7,27.5,15.1,3.9,29.5,2.3,98.8,0.01,0.38,0.01,0.04,0.9,0.83,0.03,0.01,0.13,1.5,1.15,0.35,0.24,0.27,0.02,0.07,0.81,1.37,0.19,9,168,225,72,10,0.32,1050,2310,0.83,0.8,1460,1570,1015,5.6,21.8,2275,2180,1550,1670,1715,2010,2400,2625,10.4,7.7,10.2,8.9,8.9,5.5,9.3,9.8,6.3,1.9,0.64,0.3,0.55,0.55,0.18,0.52,0.81,1.14,1.25,0.41,0.21,0.33,0.3,0.12,0.32,0.5,0.88,0.66,0.42,0.22,0.34,0.34,0.13,0.35,0.55,0.91,0.85,0.44,0.22,0.36,0.36,0.12,0.35,0.56,0.95,0.83
23,DDGS CEBADA,,,91.9,8.1,5,24.9,5.6,3.9,10.9,34.0,13.0,4.6,5.1,2.4,85.1,0,0.9,0,0,0.51,2.2,0.24,0,0.12,0.7,0.45,0.31,0.54,0.49,0.17,0.3,0.27,0.95,0.39,11,110,24,58,18,0.25,1600,2510,0.9,0.89,1600,1715,1125,3.2,4.8,2680,2500,1645,1775,1600,1860,2750,2950,17.9,16.2,18.9,17.2,16.7,8.8,13.4,16.8,5.5,1.7,0.78,0.4,0.9,0.84,0.27,0.92,1.22,1.17,1.77,0.47,0.31,0.65,0.52,0.17,0.66,0.84,0.85,1.4,0.51,0.32,0.67,0.58,0.19,0.69,0.88,0.89,1.5,0.45,0.3,0.62,0.58,0.18,0.68,0.9,0.87,1.41
24,DDGS MAIZ 7.5%EE-6.8%ALM,,,88.5,11.5,4.6,27.5,7.5,5.9,7.8,33.2,9.5,3.0,6.8,1.5,92.6,0,0.79,0,0.12,1.52,3.22,0.08,0,0.04,0.84,0.27,0.57,0.42,0.42,0.12,0.24,0.32,1.05,0.38,7,110,18,64,35,0.2,2600,2820,1.03,1.05,1825,1945,1340,3.7,5.8,2800,2585,1750,1950,1850,2055,2890,3070,22.8,18.2,22.6,19.8,19.8,11,15.4,18.9,5.3,1.9,0.81,0.53,1.07,1.02,0.21,1.01,1.33,1.15,2.01,0.49,0.42,0.77,0.66,0.14,0.7,0.97,0.89,1.3,0.53,0.43,0.8,0.71,0.16,0.73,1,0.92,1.43,0.53,0.44,0.83,0.73,0.16,0.76,1.03,0.94,1.53
25,DDGS MAIZ 12.5%EE-3.5%ALM,,,90.3,9.7,4.5,28.0,12.5,9.8,7.2,32.3,8.9,3.0,3.5,1.5,92,0,1.32,0,0.2,2.54,5.36,0.13,0,0.03,0.82,0.26,0.56,0.41,0.41,0.12,0.24,0.32,1.05,0.38,7,110,18,64,35,0.2,2600,3045,1.12,1.13,1985,2110,1480,1.9,3,3050,2820,1980,2175,2100,2330,3100,3400,23.2,18.2,23,20.2,20.2,11.2,15.2,19.3,5.2,1.8,0.83,0.54,1.09,1.04,0.22,1.03,1.36,1.17,2.04,0.5,0.42,0.78,0.67,0.15,0.71,0.99,0.9,1.33,0.54,0.44,0.81,0.73,0.16,0.74,1.02,0.94,1.45,0.54,0.45,0.85,0.75,0.16,0.77,1.05,0.96,1.55
26,DDGS MAIZ 12.5%EE-6.8%ALM,,,90.4,9.6,4,27.4,12.5,9.8,6.7,30.1,8.4,2.9,6.8,1.5,91.9,0,1.32,0,0.2,2.54,5.36,0.13,0,0.03,0.8,0.25,0.55,0.4,0.4,0.12,0.24,0.32,1.05,0.38,7,110,18,64,25,0.2,2600,3070,1.12,1.13,2005,2130,1500,3.7,5.8,3140,2910,2065,2235,2200,2440,3280,3455,22.7,18.1,22.5,19.7,19.7,10.9,15,18.8,5.2,1.8,0.81,0.53,1.06,1.01,0.21,1.01,1.33,1.15,2,0.49,0.42,0.77,0.66,0.14,0.7,0.97,0.88,1.3,0.53,0.43,0.8,0.71,0.16,0.73,1,0.92,1.42,0.53,0.44,0.83,0.73,0.16,0.76,1.02,0.94,1.52
27,DDGS SORGO,,,90.6,9.4,4.7,30.2,9.4,7.1,7.3,27.0,12.0,3.3,9.0,2.4,92.1,0,1.2,0,0,2.19,3.17,0.21,0,0.06,0.79,0.27,0.51,0.6,0.55,0.13,0.19,0.31,1.03,0.5,8,116,.,.,22,0.3,2260,2720,0.98,0.98,1750,1870,1265,4.7,7.2,3050,2810,1935,2105,2060,2300,3100,3300,23.3,19.6,21.7,21.4,21.1,12.6,16.5,20.3,4.7,1.6,0.68,0.48,1.01,1,0.3,1.2,1.49,1.16,1.99,0.41,0.37,0.73,0.67,0.2,0.86,1.05,0.92,1.35,0.44,0.39,0.77,0.73,0.21,0.91,1.09,0.95,1.45,0.43,0.39,0.77,0.72,0.21,0.93,1.17,0.93,1.49
28,DDGS TRIGO,,,91.2,8.8,4.4,33.6,4.8,3.4,7.6,29.0,11.0,3.5,3.8,2.4,86.8,0,0.64,0,0.05,0.5,1.92,0.17,0,0.1,0.85,0.52,0.58,0.62,0.6,0.23,0.26,0.25,0.92,0.43,11,179,63,77,18,0.15,1410,2600,0.93,0.92,1660,1780,1185,2.4,3.6,3000,2740,1780,1930,1879,2100,2900,2990,25.5,23.5,28.9,23.9,23.2,10.8,15.6,22.8,5.1,1.7,0.81,0.54,1.18,1,0.34,1.18,1.44,1.48,2.38,0.51,0.44,0.88,0.69,0.24,0.88,1.03,1.15,1.78,0.55,0.45,0.92,0.75,0.26,0.93,1.07,1.2,1.9,0.51,0.44,0.91,0.72,0.24,0.92,1.13,1.18,1.78
29,BAGAZO CERVEZA,,,91.5,8.5,3.6,24.3,7.2,3.2,14.0,48.9,20.5,4.2,5.0,0.8,98.3,0.04,0.72,0,0.05,0.39,1.79,0.18,0,0.3,0.44,0.26,0.18,.,0.15,0.05,0.1,0.2,0.38,0.26,8,113,35,92,30,0.3,1650,2700,0.98,0.93,1730,1850,1250,3.9,4.2,2410,2230,1440,1550,.,.,2500,2600,18.2,17,.,17.5,17.5,12.7,16.7,18,5.8,1.6,0.77,0.43,0.89,0.8,0.29,0.97,1.22,1.08,1.73,0.58,0.37,0.71,0.6,0.22,0.8,0.99,0.97,1.41,0.62,0.38,0.75,0.64,0.23,0.84,1.03,1.01,1.52,.,.,.,.,.,.,.,.,.
30,HARINILLAS MAIZ 6%EE,,,86.3,13.7,1.9,8.3,6.0,4.8,3.5,16.5,4.9,0.9,51.3,2.3,100,0,0.53,0,0.1,1.3,2.69,0,0,0.13,0.48,0.36,0.12,0.17,0.18,0.04,0.09,0.22,0.52,0.1,8,90,14,30,6,0.13,1100,2940,1.11,1.13,1920,2040,1435,20,34.4,3230,3150,2480,2670,2900,3000,3215,3400,5.8,5.6,6.6,5.6,5.7,2.5,7,5.5,6.8,2,0.29,0.17,0.33,0.32,0.06,0.27,0.41,0.45,0.6,0.21,0.14,0.26,0.22,0.04,0.2,0.3,0.36,0.37,0.22,0.15,0.27,0.24,0.04,0.21,0.32,0.37,0.42,0.22,0.14,0.26,0.22,0.05,0.22,0.33,0.38,0.45
31,GLUTEN FEED MAIZ 19%,,,88.8,11.2,6.9,19.0,2.3,1.8,7.6,31.7,8.4,1.2,16.9,2.2,90.2,0,0.22,0,0.04,0.5,0.99,0.02,0,0.07,0.99,0.66,0.33,0.4,0.38,0.22,0.22,0.36,1.13,0.31,5,242,20,64,9,0.14,1480,2695,0.99,0.99,1730,1850,1255,9.5,13.9,2580,2440,1670,1935,1640,1860,2500,2650,14.3,12,16.2,12.9,13.3,4.6,10.1,12.5,6.3,1.9,0.57,0.32,0.72,0.69,0.12,0.59,0.89,0.84,1.42,0.34,0.26,0.5,0.44,0.06,0.43,0.64,0.68,0.87,0.37,0.27,0.52,0.49,0.08,0.46,0.65,0.7,0.97,0.41,0.27,0.54,0.51,0.09,0.48,0.74,0.74,1.06
32,GLUTEN FEED MAIZ 20.5%,,,88.5,11.5,6.5,20.5,2.6,2,7.5,31.6,8.3,1.1,15.0,2.2,89.9,0,0.24,0,0.04,0.57,1.12,0.02,0,0.06,0.97,0.65,0.32,0.39,0.37,0.22,0.22,0.36,1.13,0.31,5,242,20,64,9,0.14,1480,2710,1,1,1745,1860,1270,8.4,12.3,2590,2440,1660,1920,1630,1870,2550,2640,15.4,12.9,17.4,13.9,14.4,5,10.4,13.5,6.2,1.9,0.62,0.35,0.77,0.74,0.13,0.63,0.96,0.9,1.53,0.37,0.28,0.53,0.47,0.07,0.47,0.69,0.73,0.93,0.4,0.29,0.56,0.53,0.08,0.5,0.7,0.75,1.04,0.44,0.29,0.58,0.55,0.1,0.52,0.8,0.8,1.15
33,GLUTEN MEAL MAIZ 60%,,,89.6,10.4,1.7,60.0,2.7,2.2,1.7,6.1,2.4,0.4,17.0,0.7,98.6,0,0.24,0,0.04,0.58,1.21,0.02,0,0.03,0.44,0.32,0.11,0.18,0.09,0.02,0.05,0.06,0.15,0.48,18,110,5.5,30,23,0.2,344,3075,1.11,1.12,2010,2135,1505,4.9,14.8,4320,3730,2400,2420,3245,3610,4200,4325,54,55.8,57,54.6,53.4,42,45.3,49.7,3.5,2.1,1.02,1.5,2.58,2.1,0.34,2.43,2.76,1.89,3.83,0.87,1.43,2.32,1.87,0.28,2.19,2.43,1.76,3.22,0.9,1.44,2.37,1.91,0.29,2.21,2.48,1.8,3.37,0.96,1.43,2.35,1.95,0.29,2.19,2.48,1.81,3.22
34,SALVADO TRIGO 15% ALMIDîN,,,87.4,12.6,5.4,15.4,3.3,2.4,11.1,40.3,13.4,3.6,15.0,5.8,97.8,0,0.45,0.02,0.02,0.36,1.35,0.12,0.02,0.14,1.0,0.83,0.17,0.27,0.2,0.03,0.08,0.38,1.18,0.2,12,140,106,85,22,0.17,1050,2380,0.85,0.8,1510,1620,1065,12,14.1,2230,2110,1430,1590,1300,1640,2150,2350,10.3,9.9,10.8,10.5,10.6,3.5,8.9,10.1,6.8,1.9,0.61,0.23,0.55,0.49,0.22,0.49,0.7,1,1.24,0.41,0.17,0.39,0.3,0.15,0.34,0.49,0.8,0.74,0.44,0.18,0.42,0.34,0.16,0.37,0.51,0.84,0.84,0.43,0.18,0.42,0.33,0.16,0.36,0.49,0.83,0.93
35,SALVADO TRIGO 20% ALMIDîN,,,87.6,12.4,4.9,15.0,3.4,2.4,10.1,37.1,12.2,3.4,20.0,6.2,99,0,0.47,0.02,0.02,0.37,1.4,0.12,0.02,0.13,0.9,0.62,0.18,0.24,0.18,0.03,0.07,0.36,1.15,0.2,12,135,106,83,22,0.17,1050,2425,0.87,0.83,1540,1655,1095,16,18.8,2420,2300,1600,1765,1515,1840,2350,2500,10.2,10.2,10.7,10.8,11,3.4,8.8,9.8,6.8,1.9,0.6,0.23,0.54,0.48,0.21,0.48,0.69,0.98,1.21,0.4,0.17,0.39,0.3,0.15,0.34,0.48,0.79,0.72,0.43,0.18,0.42,0.33,0.16,0.36,0.51,0.83,0.82,0.43,0.18,0.41,0.32,0.16,0.35,0.49,0.82,0.91
36,TERCERILLAS TRIGO 25% ALMIDîN,,,87.9,12.1,4.5,14.3,3.5,2.5,9.1,33.9,11.0,3.1,25.0,6.5,99.8,0,0.48,0.03,0.03,0.38,1.44,0.13,0.03,0.12,0.82,0.68,0.14,0.22,0.16,0.03,0.06,0.34,1.1,0.19,10,130,103,80,22,0.16,1050,2480,0.9,0.88,1580,1695,1125,20,23.5,2580,2460,1750,1910,1675,2025,2590,2700,9.9,10,10.3,10.7,11.2,3.2,8.7,9.3,6.8,1.9,0.57,0.22,0.51,0.45,0.2,0.45,0.65,0.93,1.23,0.39,0.17,0.38,0.29,0.14,0.33,0.46,0.78,0.86,0.42,0.17,0.4,0.32,0.15,0.35,0.49,0.82,0.96,0.41,0.18,0.4,0.31,0.15,0.34,0.47,0.79,0.95
37,HARINILLAS TRIGO 30% ALM,,,88.2,11.8,3.9,14.7,3.5,2.5,8.0,29.2,9.4,2.7,29.2,6.4,98.7,0,0.48,0.03,0.03,0.38,1.44,0.13,0.03,0.12,0.75,0.64,0.21,0.2,0.15,0.03,0.06,0.3,1,0.18,10,120,100,70,22,0.15,1050,2540,0.92,0.9,1625,1740,1160,24,28.2,2780,2650,1915,2085,1800,2240,2750,2930,10.3,10.6,11,11.5,11.6,3.3,8.8,9.6,6.8,1.9,0.58,0.22,0.53,0.47,0.21,0.47,0.67,0.96,1.26,0.41,0.17,0.4,0.31,0.15,0.35,0.5,0.82,0.91,0.44,0.18,0.42,0.34,0.16,0.37,0.52,0.86,1.01,0.43,0.19,0.42,0.33,0.16,0.36,0.5,0.81,0.99
38,HARINA GALLETA 2.5% CENIZAS,,,90.8,9.2,2.5,10.4,9.5,9.3,2.0,7.5,2.2,0.1,46.5,11.0,96.6,0.19,2.51,0.03,0.74,3.54,1.86,0.19,0.09,0.1,0.3,0.2,0.1,0.15,0.13,0.35,0.9,0.04,0.2,0.15,5,35,10,18,25,0.07,750,3320,1.26,1.27,2190,2320,1670,38.1,44.2,3765,3685,2900,2920,3520,3630,3800,3800,8.1,7.7,8.3,7.8,7.9,2.6,8.6,6.9,6.8,2,0.28,0.17,0.37,0.32,0.11,0.38,0.45,0.46,0.82,0.21,0.13,0.3,0.25,0.09,0.3,0.36,0.38,0.59,0.24,0.15,0.33,0.28,0.1,0.34,0.41,0.4,0.72,0.21,0.14,0.3,0.26,0.09,0.32,0.35,0.39,0.65
39,HARINA GALLETA 6% CENIZAS,,,89.6,10.4,6,10.7,7.6,7.4,3.6,12.0,4.9,0.2,37.3,11.0,95,0.15,2.01,0.02,0.6,2.83,1.49,0.15,0.07,0.16,0.3,0.2,0.1,0.15,0.13,0.42,0.98,0.1,0.35,0.15,60,50,10,18,25,0.07,1100,3075,1.16,1.18,2010,2135,1500,30.6,35.4,3300,3220,2480,2510,3000,3100,3420,3420,8.3,7.8,8.6,8,8.1,2.7,8.4,7.1,6.7,1.9,0.29,0.17,0.39,0.33,0.12,0.39,0.48,0.47,0.84,0.22,0.14,0.31,0.25,0.1,0.31,0.38,0.38,0.61,0.25,0.15,0.34,0.29,0.11,0.35,0.43,0.41,0.74,0.21,0.15,0.31,0.27,0.1,0.33,0.37,0.39,0.67
40,PAN RALLADO,,,92.1,7.9,2.6,13.0,2.7,2.6,3.3,7.9,3.7,0.3,58.0,6.5,98.6,0.05,0.5,0.01,0.04,0.39,1.49,0.13,0,0.1,0.18,0.14,0.11,0.07,0.09,0.72,1.1,0.05,0.2,0.14,5,35,10,16,28,0.07,1000,3000,1.13,1.15,1950,2075,1440,47.6,55.1,3620,3525,2700,2725,3120,3250,3580,3650,10.1,10.8,10.4,9.8,10,3.2,9.6,8.7,6.6,1.9,0.33,0.21,0.56,0.39,0.17,0.52,0.59,0.56,0.94,0.23,0.17,0.44,0.28,0.13,0.42,0.46,0.51,0.76,0.28,0.19,0.48,0.34,0.15,0.46,0.51,0.53,0.89,0.23,0.17,0.41,0.28,0.13,0.44,0.47,0.5,0.8
41,RAICILLAS MALTA 19,,,90.5,9.5,6.5,19.1,1.5,0.9,12.9,40.2,15.1,2.4,11.0,9.0,96.8,0.01,0.21,0,0.01,0.12,0.5,0.05,0,0.22,0.6,0.17,0.39,0.27,0.21,0.04,0.36,0.18,1,0.61,12,120,50,50,5,0.2,1600,2540,0.93,0.9,1620,1735,1150,8.4,10.5,2450,2300,1485,1585,.,.,2500,2550,13,12.6,.,.,.,3.4,8,12,6.8,1.8,0.82,0.27,0.55,0.62,0.22,0.62,0.86,0.84,1.28,0.57,0.23,0.42,0.42,0.15,0.48,0.64,0.63,0.87,0.61,0.23,0.44,0.47,0.17,0.53,0.7,0.66,0.95,0.55,0.22,0.43,0.46,0.16,0.54,0.72,0.65,0.92
42,BELLOTA ENTERA,,,62.5,37.5,1.6,2.6,4.8,4.3,7.5,18.6,9.8,5.2,27.0,2.8,94.9,0,0.65,0,0.13,2.68,0.69,0,0,0.07,0.08,0.04,0.02,0.03,0.02,0.01,0.02,0.05,0.8,0.05,4,15,20,13,.,.,.,1715,0.64,0.62,1090,1170,770,13.5,23,.,.,.,.,.,.,.,.,2.1,.,.,.,.,1,4.1,2.1,7.3,2.1,0.11,.,.,.,0.05,.,.,.,0.11,.,.,.,0.08,.,.,.,0.02,.,.,.,0.11,.,.,.,0.12,.,.,.,0.16,.,.,.,0.18,.,.,.
43,BELLOTA DECORTICADA,,,57.2,42.8,1.2,3.2,5.3,4.8,3.2,7.5,3.8,1.2,35.2,3.0,98.2,0,0.76,0,0.14,3.05,0.72,0.05,0,0.07,0.08,0.04,0.02,0.03,0.02,0.01,0.02,0.05,0.61,0.06,4,15,20,13,.,.,.,1900,0.71,0.68,1240,1315,920,17.6,29.9,2120,2100,1680,1770,.,.,.,.,2.6,2.4,.,.,.,1,4.1,2.1,7.3,2.1,0.14,.,0.09,.,0.06,.,0.04,.,0.14,.,0.09,.,0.1,.,0.08,.,0.03,.,0.02,.,0.14,.,0.11,.,0.15,.,0.14,.,0.19,.,0.12,.,0.22,.,0.16,.
